item_id,item_type,title,organization,status,last_checked,geography,eligible_users,project_stage,topic_tags,support_type,amount_or_cost,match_or_cost,deadline_or_availability,summary,why_it_matters
RERC-FND-0003,Funding,Community Development Block Grant,ADECA Community and Economic Development,Recurring,2026-06-09,Alabama,Non-entitlement cities; towns; counties,Mixed,downtown revitalization; public facilities; planning; infrastructure,Grant,"Small City up to $400,000; Large City and County up to $500,000; Community Enhancement up to $400,000",Varies,Annual workshop in Q1; PY2026 manual posted,"Supports downtown, streetscape, and facility work around recreation hubs.","Supports downtown, streetscape, and facility work around recreation hubs"
RERC-FND-0007,Funding,Land and Water Conservation Fund,ADECA Federal Initiatives and Recreation Division,Recurring,2026-06-09,Alabama,Cities; counties; state agencies; educational institutions,Mixed,parks; splash pads; ballfields; camping; acquisition,Grant,Varies; 2025 awards totaled $7.5M,50%,Fall cycle; 2026 materials posted,Funds public outdoor recreation facilities in small towns.,Funds public outdoor recreation facilities in small towns
RERC-FND-0008,Funding,Recreational Trails Program,ADECA Federal Initiatives and Recreation Division,Recurring,2026-06-09,Alabama,State and federal agencies; local governments,Construction,trails; trailheads; accessibility; outdoor recreation,Grant,"$200,000-$500,000",20% local,Fall cycle; 2026 materials posted,Builds trail assets that anchor rural recreation tourism.,Builds trail assets that anchor rural recreation tourism
RERC-FND-0005,Funding,Delta Regional Authority programs,ADECA and DRA,Recurring,2026-06-09,Alabama,Local; state; regional agencies through LDD partners,Mixed,infrastructure; transportation; business; entrepreneurship; leadership,Grant,Varies,Varies,Spring annual cycle,Helps Black Belt communities fund enabling infrastructure for visitor economies.,Helps Black Belt communities fund enabling infrastructure for visitor economies
RERC-FND-0010,Funding,Southeast Crescent Regional Commission SEID,ADECA and SCRC,Recurring,2026-06-09,Alabama,Eligible local and regional entities through LDDs,Mixed,infrastructure; business development; natural resources; workforce,Grant,Varies,20%-50% by county distress,Program active under 2023-2026 state plan,Supports natural-resource and infrastructure projects in rural recreation corridors.,Supports natural-resource and infrastructure projects in rural recreation corridors
RERC-FND-0002,Funding,Alabama RC&D Grants,Alabama Association of RC&D Councils,Cycle closed,2026-07-13,Alabama,"Nonprofits, units of government, sub-units of government",Mixed,natural resources; community development; quality of life; education,Grant,Varies,Not stated,"The FY2026 application period ended June 30, 2026.","Can support small rural recreation, conservation, education, and community-quality projects that strengthen local recreation-economy capacity.","Can support small rural recreation, conservation, education, and community-quality projects that strengthen local recreation-economy capacity"
RERC-FND-0011,Funding,State Energy Program Energy-Efficient Retrofits,Alabama Department of Economic and Community Affairs Energy Division,Recurring,2026-06-09,Alabama,Local governments and nonprofit organizations,Mixed,energy efficiency; public facilities; nonprofit facilities,Grant,"2026 awards totaled just over $500,000; listed awards roughly $32,660-$50,000",Not stated,"FY2026 awards announced April 17, 2026; monitor ADECA funding opportunities","Reduces operating costs for community centers, athletic complexes, visitor facilities, and recreation-serving nonprofits.","Reduces operating costs for community centers, athletic complexes, visitor facilities, and recreation-serving nonprofits"
RERC-FND-0009,Funding,"Rehabilitation, Preservation, and Development of Historic Structures Credit",Alabama Department of Revenue and Alabama Historical Commission,Open when checked,2026-06-09,Alabama,Owners of eligible historic residential or commercial properties,Construction,historic preservation; downtown revitalization; adaptive reuse,Tax Credit,25 percent refundable and transferable credit; $20 million annual reservation cap through 2027,Eligible rehabilitation expenses required,Tax years 2018-2027,"Can help rural downtowns rehabilitate historic buildings for lodging, outfitters, restaurants, visitor centers, and heritage tourism.","Can help rural downtowns rehabilitate historic buildings for lodging, outfitters, restaurants, visitor centers, and heritage tourism"
RERC-FND-0001,Funding,Alabama Power Foundation Good Roots and Gateway,Alabama Power Foundation,Recurring,2026-06-09,Alabama,Cities; counties; schools; towns; nonprofits,Implementation,beautification; gateways; tourism marketing; environment,Grant,"Good Roots up to $1,000; Gateway up to $2,500; broader grants vary",Not stated,Annual foundation grantmaking,"Small but practical support for gateways, signs, and place-based visitor appeal.","Small but practical support for gateways, signs, and place-based visitor appeal"
RERC-FND-0004,Funding,Competitive Grantmaking,Community Foundation of Greater Birmingham,Recurring,2026-06-09,Alabama,Nonprofits serving the foundation region,Mixed,thriving communities; regional cooperation; economic opportunity; poverty reduction,Grant,Spring 2026 awards totaled $1.6 million to 66 organizations; award size varies,Not stated,"Fall 2026 grant cycle opens July 27, 2026; brief proposals due August 14, 2026","Can fund nonprofit capacity, public-realm partnerships, workforce, and community-building projects that complement recreation-economy strategies.","Can fund nonprofit capacity, public-realm partnerships, workforce, and community-building projects that complement recreation-economy strategies"
