Type,Title,Organization,Status,Availability or Year,Geography,Community,Community Type,Best For,Project Stage,Topics,Summary,Why It May Help,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Funding,Community Development Block Grant,ADECA Community and Economic Development,Recurring,Annual workshop in Q1; PY2026 manual posted,Alabama,,,Non-entitlement cities; towns; counties,Mixed,downtown revitalization; public facilities; planning; infrastructure,"Supports downtown, streetscape, and facility work around recreation hubs.","Supports downtown, streetscape, and facility work around recreation hubs","Small City up to $400,000; Large City and County up to $500,000; Community Enhancement up to $400,000",Varies,https://adeca.alabama.gov/cdbg,2026-06-09,RERC-FND-0003
Funding,Land and Water Conservation Fund,ADECA Federal Initiatives and Recreation Division,Recurring,Fall cycle; 2026 materials posted,Alabama,,,Cities; counties; state agencies; educational institutions,Mixed,parks; splash pads; ballfields; camping; acquisition,Funds public outdoor recreation facilities in small towns.,Funds public outdoor recreation facilities in small towns,Varies; 2025 awards totaled $7.5M,50%,https://adeca.alabama.gov/category/fir/lwcf,2026-06-09,RERC-FND-0007
Funding,Recreational Trails Program,ADECA Federal Initiatives and Recreation Division,Recurring,Fall cycle; 2026 materials posted,Alabama,,,State and federal agencies; local governments,Construction,trails; trailheads; accessibility; outdoor recreation,Builds trail assets that anchor rural recreation tourism.,Builds trail assets that anchor rural recreation tourism,"$200,000-$500,000",20% local,https://adeca.alabama.gov/trails,2026-06-09,RERC-FND-0008
Funding,Delta Regional Authority programs,ADECA and DRA,Recurring,Spring annual cycle,Alabama,,,Local; state; regional agencies through LDD partners,Mixed,infrastructure; transportation; business; entrepreneurship; leadership,Helps Black Belt communities fund enabling infrastructure for visitor economies.,Helps Black Belt communities fund enabling infrastructure for visitor economies,Varies,Varies,https://adeca.alabama.gov/dra,2026-06-09,RERC-FND-0005
Funding,Southeast Crescent Regional Commission SEID,ADECA and SCRC,Recurring,Program active under 2023-2026 state plan,Alabama,,,Eligible local and regional entities through LDDs,Mixed,infrastructure; business development; natural resources; workforce,Supports natural-resource and infrastructure projects in rural recreation corridors.,Supports natural-resource and infrastructure projects in rural recreation corridors,Varies,20%-50% by county distress,https://adeca.alabama.gov/scrc,2026-06-09,RERC-FND-0010
Funding,Alabama RC&D Grants,Alabama Association of RC&D Councils,Cycle closed,"The FY2026 application period ended June 30, 2026.",Alabama,,,"Nonprofits, units of government, sub-units of government",Mixed,natural resources; community development; quality of life; education,"Can support small rural recreation, conservation, education, and community-quality projects that strengthen local recreation-economy capacity.","Can support small rural recreation, conservation, education, and community-quality projects that strengthen local recreation-economy capacity",Varies,Not stated,https://alabamarcd.org/grants,2026-07-13,RERC-FND-0002
Funding,State Energy Program Energy-Efficient Retrofits,Alabama Department of Economic and Community Affairs Energy Division,Recurring,"FY2026 awards announced April 17, 2026; monitor ADECA funding opportunities",Alabama,,,Local governments and nonprofit organizations,Mixed,energy efficiency; public facilities; nonprofit facilities,"Reduces operating costs for community centers, athletic complexes, visitor facilities, and recreation-serving nonprofits.","Reduces operating costs for community centers, athletic complexes, visitor facilities, and recreation-serving nonprofits","2026 awards totaled just over $500,000; listed awards roughly $32,660-$50,000",Not stated,https://adeca.alabama.gov/2026/04/17/gov-ivey-awards-grants-for-energy-efficient-upgrades,2026-06-09,RERC-FND-0011
Funding,"Rehabilitation, Preservation, and Development of Historic Structures Credit",Alabama Department of Revenue and Alabama Historical Commission,Open when checked,Tax years 2018-2027,Alabama,,,Owners of eligible historic residential or commercial properties,Construction,historic preservation; downtown revitalization; adaptive reuse,"Can help rural downtowns rehabilitate historic buildings for lodging, outfitters, restaurants, visitor centers, and heritage tourism.","Can help rural downtowns rehabilitate historic buildings for lodging, outfitters, restaurants, visitor centers, and heritage tourism",25 percent refundable and transferable credit; $20 million annual reservation cap through 2027,Eligible rehabilitation expenses required,https://www.revenue.alabama.gov/tax-types/rehabilitation-preservation-and-development-of-historic-structures-credit,2026-06-09,RERC-FND-0009
Funding,Alabama Power Foundation Good Roots and Gateway,Alabama Power Foundation,Recurring,Annual foundation grantmaking,Alabama,,,Cities; counties; schools; towns; nonprofits,Implementation,beautification; gateways; tourism marketing; environment,"Small but practical support for gateways, signs, and place-based visitor appeal.","Small but practical support for gateways, signs, and place-based visitor appeal","Good Roots up to $1,000; Gateway up to $2,500; broader grants vary",Not stated,https://www.powerofgood.com/,2026-06-09,RERC-FND-0001
Funding,Competitive Grantmaking,Community Foundation of Greater Birmingham,Recurring,"Fall 2026 grant cycle opens July 27, 2026; brief proposals due August 14, 2026",Alabama,,,Nonprofits serving the foundation region,Mixed,thriving communities; regional cooperation; economic opportunity; poverty reduction,"Can fund nonprofit capacity, public-realm partnerships, workforce, and community-building projects that complement recreation-economy strategies.","Can fund nonprofit capacity, public-realm partnerships, workforce, and community-building projects that complement recreation-economy strategies",Spring 2026 awards totaled $1.6 million to 66 organizations; award size varies,Not stated,https://www.cfbham.org/grants,2026-06-09,RERC-FND-0004
